miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-miR-29b-1-5p,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
hsa-miR-29b-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0
hsa-miR-29b-3p,6.47,222.64,15.82,6.91,23.04,255.58,12.42,9.75
hsa-miR-29c-3p,0.0,59.03,1.44,0.6,0.0,3.8,0.0,2.53
hsa-miR-29c-5p,0.0,0.0,2.88,1.2,0.0,1.43,0.75,0.36
hsa-miR-301a-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.13,2.17
hsa-miR-301a-5p,0.0,0.0,11.51,1.2,0.0,0.48,0.0,1.08
hsa-miR-302c-3p,0.0,0.0,1.44,0.0,0.68,0.0,0.0,0.0
hsa-miR-3064-5p,0.0,0.0,1.44,0.3,0.0,0.0,1.88,0.36
hsa-miR-3074-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
hsa-miR-30a-3p,3.88,20.24,306.4,78.66,0.68,938.7,69.23,79.11
hsa-miR-30a-5p,54.34,2133.62,837.19,247.99,355.1,9819.3,282.95,330.18
hsa-miR-30b-3p,0.0,0.0,7.19,4.5,0.0,0.0,2.63,6.14
