miRNA,SRR10029319,SRR10029320,SRR10029321,SRR10029322,SRR10029323
hsa-miR-758-3p,0.83,0.17,0.0,1.71,0.0
hsa-miR-760,0.0,0.5,1.62,0.0,0.0
hsa-miR-766-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-769-5p,3.33,0.67,1.62,2.27,1.35
hsa-miR-7704,4.45,3.69,1.62,1.71,0.0
hsa-miR-7706,6.95,4.36,11.32,1.14,1.35
hsa-miR-7845-5p,0.0,0.17,0.0,0.0,0.0
hsa-miR-7846-3p,0.0,0.17,0.0,0.0,0.0
hsa-miR-874-3p,0.83,0.0,1.62,0.0,0.0
hsa-miR-877-3p,0.0,1.34,0.0,0.0,0.0
hsa-miR-889-3p,1.11,0.34,0.0,0.0,0.0
hsa-miR-9-3p,0.0,0.0,0.0,2.27,10.82
hsa-miR-9-5p,0.28,0.0,0.0,3.41,7.44
hsa-miR-92a-3p,63.35,37.73,30.73,121.12,58.18
hsa-miR-92b-3p,24.45,7.21,9.7,0.57,0.68
hsa-miR-92b-5p,1.39,0.0,0.0,0.57,0.0
hsa-miR-93-3p,0.0,0.0,1.62,1.14,0.68
hsa-miR-93-5p,0.28,0.0,0.0,18.2,5.41
hsa-miR-935,0.0,0.0,0.0,0.57,0.0
hsa-miR-937-3p,0.28,0.0,0.0,0.0,0.0
